type, size, range, name, total_value, total_weight, running_time, isOptimalSolution
11ProfitCeiling, n02000, R10000, s017.kp, 4969596, 4969771, 29.658180952072144, False
11ProfitCeiling, n00050, R01000, s089.kp, 13200, 13208, 0.2495431900024414, True
11ProfitCeiling, n00050, R01000, s017.kp, 14067, 14071, 0.0005261898040771484, True
11ProfitCeiling, n00050, R10000, s089.kp, 131964, 131969, 0.15024375915527344, True
11ProfitCeiling, n00050, R10000, s017.kp, 140592, 140601, 0.2413020133972168, True
11ProfitCeiling, n01000, R01000, s089.kp, 247854, 247946, 29.982421159744263, False
11ProfitCeiling, n01000, R01000, s017.kp, 245064, 245137, 28.90205669403076, True
11ProfitCeiling, n01000, R10000, s089.kp, 2477271, 2477336, 29.37182068824768, False
11ProfitCeiling, n01000, R10000, s017.kp, 2449086, 2449173, 28.124769687652588, True
05SubsetSum, n00200, R01000, s089.kp, 49527, 49527, 6.103515625e-05, True
05SubsetSum, n00200, R01000, s017.kp, 51029, 51029, 5.2928924560546875e-05, True
05SubsetSum, n00200, R10000, s089.kp, 494814, 494814, 5.054473876953125e-05, True
05SubsetSum, n00200, R10000, s017.kp, 509850, 509850, 0.0006663799285888672, True
05SubsetSum, n10000, R01000, s089.kp, 2475179, 2475179, 0.0032274723052978516, True
05SubsetSum, n10000, R01000, s017.kp, 2470057, 2470057, 0.0024924278259277344, True
05SubsetSum, n10000, R10000, s089.kp, 24729920, 24729920, 0.0031578540802001953, True
05SubsetSum, n10000, R10000, s017.kp, 24678021, 24678021, 0.013133525848388672, True
05SubsetSum, n00500, R01000, s089.kp, 125430, 125430, 8.344650268554688e-06, True
05SubsetSum, n00500, R01000, s017.kp, 120681, 120681, 0.0007321834564208984, True
05SubsetSum, n00500, R10000, s089.kp, 1253205, 1253205, 3.0517578125e-05, True
05SubsetSum, n00500, R10000, s017.kp, 1205714, 1205714, 0.0008423328399658203, True
05SubsetSum, n05000, R01000, s089.kp, 1237047, 1237047, 0.0001971721649169922, True
05SubsetSum, n05000, R01000, s017.kp, 1243343, 1243343, 0.0027976036071777344, True
05SubsetSum, n05000, R10000, s089.kp, 12359596, 12359596, 0.005869865417480469, True
05SubsetSum, n05000, R10000, s017.kp, 12422197, 12422197, 0.0034160614013671875, True
05SubsetSum, n00100, R01000, s089.kp, 24988, 24988, 2.5987625122070312e-05, True
05SubsetSum, n00100, R01000, s017.kp, 26615, 26615, 4.6253204345703125e-05, True
05SubsetSum, n00100, R10000, s089.kp, 249652, 249652, 0.00046181678771972656, True
05SubsetSum, n00100, R10000, s017.kp, 265944, 265944, 0.000827789306640625, True
05SubsetSum, n02000, R01000, s089.kp, 492957, 492957, 0.001165151596069336, True
05SubsetSum, n02000, R01000, s017.kp, 497424, 497424, 0.0002689361572265625, True
05SubsetSum, n02000, R10000, s089.kp, 4925237, 4925237, 0.0029065608978271484, True
05SubsetSum, n02000, R10000, s017.kp, 4969773, 4969773, 0.009804487228393555, True
05SubsetSum, n00050, R01000, s089.kp, 13208, 13208, 5.507469177246094e-05, True
05SubsetSum, n00050, R01000, s017.kp, 14071, 14071, 0.00011444091796875, True
05SubsetSum, n00050, R10000, s089.kp, 131969, 131969, 0.0011014938354492188, True
05SubsetSum, n00050, R10000, s017.kp, 140602, 140602, 0.0004904270172119141, True
05SubsetSum, n01000, R01000, s089.kp, 247948, 247948, 0.00014519691467285156, True
05SubsetSum, n01000, R01000, s017.kp, 245138, 245138, 0.0005292892456054688, True
05SubsetSum, n01000, R10000, s089.kp, 2477338, 2477338, 0.015761137008666992, True
05SubsetSum, n01000, R10000, s017.kp, 2449173, 2449173, 0.003834247589111328, True
09SpannerStronglyCorrelated, n00200, R01000, s089.kp, 97899, 17799, 29.99957299232483, False
09SpannerStronglyCorrelated, n00200, R01000, s017.kp, 97014, 31814, 28.24410080909729, True
09SpannerStronglyCorrelated, n00200, R10000, s089.kp, 979334, 179334, 28.190333604812622, True
09SpannerStronglyCorrelated, n00200, R10000, s017.kp, 970970, 319970, 28.254079580307007, True
09SpannerStronglyCorrelated, n10000, R01000, s089.kp, 4745304, 850104, 28.03635311126709, True
09SpannerStronglyCorrelated, n10000, R01000, s017.kp, 4824848, 1617048, 29.64746356010437, False
09SpannerStronglyCorrelated, n10000, R10000, s089.kp, 47435715, 8554715, 29.610575199127197, False
09SpannerStronglyCorrelated, n10000, R10000, s017.kp, 48304998, 16265998, 29.62754225730896, False
09SpannerStronglyCorrelated, n00500, R01000, s089.kp, 232684, 43484, 29.75017499923706, False
09SpannerStronglyCorrelated, n00500, R01000, s017.kp, 238149, 78849, 28.373087644577026, True
09SpannerStronglyCorrelated, n00500, R10000, s089.kp, 2326603, 437603, 28.81370735168457, True
09SpannerStronglyCorrelated, n00500, R10000, s017.kp, 2384502, 793502, 28.608355283737183, True
09SpannerStronglyCorrelated, n05000, R01000, s089.kp, 2353179, 429879, 28.695918321609497, True
